,f,V1,V2,desfase,desfasegrados
0,1.0,1.0,0.00508,1.57,90.0
1,2.0,1.0,0.0101,1.56,89.4
2,5.0,1.0,0.0255,1.55,88.8
3,10.0,1.0,0.0508,1.52,87.1
4,20.0,1.0,0.101,1.47,84.2
5,50.1,1.0,0.247,1.32,75.6
6,100.0,1.0,0.453,1.1,63.0
7,120.0,1.0,0.521,1.02,58.4
8,141.0,1.0,0.583,0.948,54.3
9,158.0,1.0,0.627,0.893,51.2
10,178.0,1.0,0.67,0.836,47.9
11,191.0,1.0,0.696,0.802,46.0
12,200.0,1.0,0.712,0.778,44.6
13,209.0,1.0,0.728,0.755,43.3
14,219.0,1.0,0.743,0.733,42.0
15,240.0,1.0,0.773,0.687,39.4
16,263.0,1.0,0.801,0.642,36.8
17,282.0,1.0,0.82,0.61,35.0
18,302.0,1.0,0.838,0.578,33.1
19,501.0,1.0,0.931,0.374,21.4
20,1000.0,1.0,0.981,0.194,11.1
21,2000.0,1.0,0.995,0.0983,5.6
22,5010.0,1.0,0.999,0.0392,2.2
23,10000.0,1.0,1.0,0.0197,1.1
