t;T2;T1
1;13,7;15,0
2;13,8;14,9
3;14,5;14,9
4;15,5;15,0
5;16,6;15,1
6;17,4;15,2
7;18,2;15,3
8;19,0;15,3
9;19,9;15,5
10;20,7;15,6
11;21,4;15,6
12;22,1;15,5
13;22,9;15,6
14;23,6;15,7
15;24,1;15,7
16;24,9;15,7
17;25,4;15,8
18;26,0;15,8
19;26,5;15,9
20;27,1;16,0
21;27,5;16,0
22;27,9;16,0
23;28,4;15,9
24;28,8;16,0
25;29,2;16,1
26;29,7;16,1
27;30,2;16,1
28;30,4;16,1
29;30,7;16,2
30;31,0;16,2
31;31,4;16,2
32;31,7;16,4
33;32,0;16,2
34;32,3;16,2
35;32,4;16,2
36;32,6;16,2
37;32,8;16,4
38;33,1;16,4
39;33,3;16,4
40;33,6;16,4
41;33,8;16,4
42;34,0;16,5
43;34,1;16,5
44;34,3;16,5
45;34,5;16,5
46;34,7;16,5
47;34,7;16,6
48;34,9;16,6
49;35,0;16,5
50;35,2;16,5
51;35,4;16,5
52;35,5;16,6
53;35,7;16,7
54;35,8;16,6
55;35,9;16,7
56;36,0;16,6
57;36,1;16,7
58;36,3;16,7
59;36,4;16,8
60;36,6;16,8
61;36,8;16,8
62;36,9;16,8
63;37,0;16,8
64;37,0;16,8
65;37,1;16,8
66;37,2;16,8
67;37,2;16,8
68;37,3;16,8
69;37,4;16,8
70;37,4;16,8
71;37,5;16,8
72;37,7;16,8
73;37,8;16,8
74;37,8;16,8
75;37,8;16,8
